Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024(In lakhs)"
1,RELIANCE,Reliance Industries Limited,"201,056,022.45"
2,TCS,Tata Consultancy Services Limited,"140,247,926.46"
3,HDFCBANK,HDFC Bank Limited,"109,991,524.33"
4,ICICIBANK,ICICI Bank Limited,"76,765,684.66"
5,BHARTIARTL,Bharti Airtel Limited,"69,478,399.83"
6,SBIN,State Bank of India,"67,144,317.89"
7,INFY,Infosys Limited,"62,179,773.92"
8,LICI,Life Insurance Corporation Of India,"57,946,466.44"
9,ITC,ITC Limited,"53,464,377.65"
10,HINDUNILVR,Hindustan Unilever Limited,"53,202,969.74"
11,LT,Larsen & Toubro Limited,"51,739,685.70"
12,BAJFINANCE,Bajaj Finance Limited,"44,847,830.87"
13,HCLTECH,HCL Technologies Limited,"41,886,777.59"
14,MARUTI,Maruti Suzuki India Limited,"39,615,824.73"
15,SUNPHARMA,Sun Pharmaceutical Industries Limited,"38,882,422.86"
16,ADANIENT,Adani Enterprises Limited,"36,446,975.84"
17,KOTAKBANK,Kotak Mahindra Bank Limited,"35,493,864.40"
18,TITAN,Titan Company Limited,"33,751,854.23"
19,ONGC,Oil & Natural Gas Corporation Limited,"33,721,438.41"
20,TATAMOTORS,Tata Motors Limited,"32,993,242.21"
21,NTPC,NTPC Limited,"32,561,404.88"
22,AXISBANK,Axis Bank Limited,"32,316,521.81"
23,DMART,Avenue Supermarts Limited,"29,449,575.73"
24,ADANIGREEN,Adani Green Energy Limited,"29,069,372.02"
25,ADANIPORTS,Adani Ports and Special Economic Zone Limited,"28,985,824.43"
26,ULTRACEMCO,UltraTech Cement Limited,"28,144,844.92"
27,ASIANPAINT,Asian Paints Limited,"27,305,963.09"
28,COALINDIA,Coal India Limited,"26,752,403.67"
29,BAJAJFINSV,Bajaj Finserv Limited,"26,227,442.85"
30,BAJAJ-AUTO,Bajaj Auto Limited,"25,905,708.85"
31,POWERGRID,Power Grid Corporation of India Limited,"25,753,371.97"
32,NESTLEIND,Nestle India Limited,"25,283,575.29"
33,WIPRO,Wipro Limited,"25,085,189.78"
34,M&M,Mahindra & Mahindra Limited,"23,892,541.19"
35,IOC,Indian Oil Corporation Limited,"23,688,377.39"
36,JIOFIN,Jio Financial Services Limited,"22,474,742.82"
37,HAL,Hindustan Aeronautics Limited,"22,250,144.25"
38,DLF,DLF Limited,"22,203,575.87"
39,ADANIPOWER,Adani Power Limited,"20,588,340.07"
40,JSWSTEEL,JSW Steel Limited,"20,302,158.83"
41,TATASTEEL,Tata Steel Limited,"19,455,577.10"
42,SIEMENS,Siemens Limited,"19,138,080.56"
43,IRFC,Indian Railway Finance Corporation Limited,"18,603,018.29"
44,VBL,Varun Beverages Limited,"18,173,275.02"
45,ZOMATO,Zomato Limited,"16,060,826.20"
46,PIDILITIND,Pidilite Industries Limited,"15,333,045.77"
47,GRASIM,Grasim Industries Limited,"15,061,395.34"
48,SBILIFE,SBI Life Insurance Company Limited,"15,023,154.75"
49,BEL,Bharat Electronics Limited,"14,729,204.34"
50,LTIM,LTIMindtree Limited,"14,625,731.81"
51,TRENT,Trent Limited,"14,034,644.96"
52,PNB,Punjab National Bank,"13,697,703.35"
53,INDIGO,InterGlobe Aviation Limited,"13,697,032.75"
54,BANKBARODA,Bank of Baroda,"13,654,981.83"
55,HDFCLIFE,HDFC Life Insurance Company Limited,"13,622,484.91"
56,ABB,ABB India Limited,"13,479,173.87"
57,BPCL,Bharat Petroleum Corporation Limited,"13,067,578.53"
58,PFC,Power Finance Corporation Limited,"12,878,647.12"
59,GODREJCP,Godrej Consumer Products Limited,"12,803,664.88"
60,TATAPOWER,Tata Power Company Limited,"12,596,028.49"
61,HINDALCO,Hindalco Industries Limited,"12,590,030.57"
62,HINDZINC,Hindustan Zinc Limited,"12,350,607.44"
63,TECHM,Tech Mahindra Limited,"12,188,534.15"
64,AMBUJACEM,Ambuja Cements Limited,"12,159,098.56"
65,INDUSINDBK,IndusInd Bank Limited,"12,086,763.08"
66,CIPLA,Cipla Limited,"12,085,856.42"
67,GAIL,GAIL (India) Limited,"11,904,217.91"
68,RECLTD,REC Limited,"11,875,840.24"
69,BRITANNIA,Britannia Industries Limited,"11,829,644.19"
70,UNIONBANK,Union Bank of India,"11,717,584.61"
71,ADANIENSOL,Adani Energy Solutions Limited,"11,452,763.38"
72,IOB,Indian Overseas Bank,"11,331,996.15"
73,LODHA,Macrotech Developers Limited,"11,295,121.67"
74,EICHERMOT,Eicher Motors Limited,"11,005,069.69"
75,CANBK,Canara Bank,"10,541,003.83"
76,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,"10,444,975.25"
77,DRREDDY,Dr  Reddy's Laboratories Limited,"10,272,502.00"
78,TVSMOTOR,TVS Motor Company Limited,"10,223,162.06"
79,ZYDUSLIFE,Zydus Lifesciences Limited,"10,196,438.39"
80,ATGL,Adani Total Gas Limited,"10,190,290.32"
81,VEDL,Vedanta Limited,"10,097,790.75"
82,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,"9,714,079.69"
83,HAVELLS,Havells India Limited,"9,494,247.90"
84,HEROMOTOCO,Hero MotoCorp Limited,"9,440,904.38"
85,DABUR,Dabur India Limited,"9,270,422.88"
86,SHREECEM,SHREE CEMENT LIMITED,"9,266,564.39"
87,MANKIND,Mankind Pharma Limited,"9,216,538.53"
88,BAJAJHLDNG,Bajaj Holdings & Investment Limited,"9,207,033.85"
89,DIVISLAB,Divi's Laboratories Limited,"9,146,188.99"
90,APOLLOHOSP,Apollo Hospitals Enterprise Limited,"9,140,103.08"
91,NHPC,NHPC Limited,"9,010,396.22"
92,SHRIRAMFIN,Shriram Finance Limited,"8,867,958.73"
93,BOSCHLTD,Bosch Limited,"8,857,323.51"
94,TORNTPHARM,Torrent Pharmaceuticals Limited,"8,801,612.11"
95,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,"8,767,317.92"
96,IDBI,IDBI Bank Limited,"8,709,445.76"
97,JSWENERGY,JSW Energy Limited,"8,698,689.61"
98,JINDALSTEL,Jindal Steel & Power Limited,"8,662,078.08"
99,BHEL,Bharat Heavy Electricals Limited,"8,611,142.68"
100,INDHOTEL,The Indian Hotels Company Limited,"8,414,619.61"
101,CUMMINSIND,Cummins India Limited,"8,333,325.00"
102,ICICIGI,ICICI Lombard General Insurance Company Limited,"8,298,324.54"
103,CGPOWER,CG Power and Industrial Solutions Limited,"8,261,345.35"
104,MCDOWELL-N,United Spirits Limited,"8,249,977.05"
105,HDFCAMC,HDFC Asset Management Company Limited,"8,014,402.84"
106,MAXHEALTH,Max Healthcare Institute Limited,"7,968,709.83"
107,SOLARINDS,Solar Industries India Limited,"7,946,610.40"
108,MOTHERSON,Samvardhana Motherson International Limited,"7,935,189.42"
109,INDUSTOWER,Indus Towers Limited,"7,846,308.93"
110,POLYCAB,Polycab India Limited,"7,608,988.43"
111,OFSS,Oracle Financial Services Software Limited,"7,603,997.17"
112,SRF,SRF Limited,"7,589,216.58"
113,IRCTC,Indian Railway Catering And Tourism Corporation Limited,"7,437,600.00"
114,COLPAL,Colgate Palmolive (India) Limited,"7,371,762.63"
115,LUPIN,Lupin Limited,"7,366,575.19"
116,NAUKRI,Info Edge (India) Limited,"7,235,159.99"
117,TIINDIA,Tube Investments of India Limited,"7,226,559.59"
118,INDIANB,Indian Bank,"7,013,641.45"
119,HINDPETRO,Hindustan Petroleum Corporation Limited,"6,747,325.20"
120,BERGEPAINT,Berger Paints (I) Limited,"6,680,443.40"
121,YESBANK,Yes Bank Limited,"6,673,733.76"
122,TORNTPOWER,Torrent Power Limited,"6,526,535.62"
123,OIL,Oil India Limited,"6,509,142.18"
124,SBICARD,SBI Cards and Payment Services Limited,"6,490,372.86"
125,IDEA,Vodafone Idea Limited,"6,450,076.20"
126,MARICO,Marico Limited,"6,434,161.72"
127,GODREJPROP,Godrej Properties Limited,"6,395,231.94"
128,AUROPHARMA,Aurobindo Pharma Limited,"6,379,406.61"
129,UCOBANK,UCO Bank,"6,241,010.17"
130,BANKINDIA,Bank of India,"6,239,431.31"
131,PERSISTENT,Persistent Systems Limited,"6,138,199.28"
132,MUTHOOTFIN,Muthoot Finance Limited,"5,943,399.41"
133,NMDC,NMDC Limited,"5,912,497.30"
134,ALKEM,Alkem Laboratories Limited,"5,908,902.30"
135,PIIND,PI Industries Limited,"5,867,774.07"
136,LTTS,L&T Technology Services Limited,"5,797,937.57"
137,GICRE,General Insurance Corporation of India,"5,785,134.00"
138,TATACOMM,Tata Communications Limited,"5,729,640.00"
139,JSL,Jindal Stainless Limited,"5,718,341.50"
140,MRF,MRF Limited,"5,657,148.26"
141,SAIL,Steel Authority of India Limited,"5,545,230.20"
142,PGHH,Procter & Gamble Hygiene and Health Care Limited,"5,495,099.46"
143,SUZLON,Suzlon Energy Limited,"5,495,023.13"
144,LINDEINDIA,Linde India Limited,"5,465,737.93"
145,SUPREMEIND,Supreme Industries Limited,"5,376,031.19"
146,CONCOR,Container Corporation of India Limited,"5,374,585.44"
147,OBEROIRLTY,Oberoi Realty Limited,"5,366,223.61"
148,ASTRAL,Astral Limited,"5,349,035.32"
149,IDFCFIRSTB,IDFC First Bank Limited,"5,330,722.59"
150,RVNL,Rail Vikas Nigam Limited,"5,273,015.83"
151,BHARATFORG,Bharat Forge Limited,"5,259,289.19"
152,CENTRALBK,Central Bank of India,"5,191,201.78"
153,JSWINFRA,JSW Infrastructure Limited,"5,152,353.84"
154,POLICYBZR,PB Fintech Limited,"5,072,654.94"
155,ASHOKLEY,Ashok Leyland Limited,"5,028,460.46"
156,THERMAX,Thermax Limited,"4,995,449.14"
157,PHOENIXLTD,The Phoenix Mills Limited,"4,972,549.76"
158,GMRINFRA,GMR Airports Infrastructure Limited,"4,925,331.34"
159,TATAELXSI,Tata Elxsi Limited,"4,848,314.27"
160,PATANJALI,Patanjali Foods Limited,"4,844,939.11"
161,SJVN,SJVN Limited,"4,770,771.34"
162,PRESTIGE,Prestige Estates Projects Limited,"4,690,081.35"
163,ACC,ACC Limited,"4,679,095.23"
164,NYKAA,FSN E-Commerce Ventures Limited,"4,623,971.11"
165,SUNDARMFIN,Sundaram Finance Limited,"4,598,255.45"
166,UBL,United Breweries Limited,"4,589,941.18"
167,ABCAPITAL,Aditya Birla Capital Limited,"4,560,332.91"
168,MPHASIS,MphasiS Limited,"4,511,861.86"
169,BALKRISIND,Balkrishna Industries Limited,"4,479,835.90"
170,DIXON,Dixon Technologies (India) Limited,"4,474,206.64"
171,MAHABANK,Bank of Maharashtra,"4,415,236.46"
172,KALYANKJIL,Kalyan Jewellers India Limited,"4,406,566.98"
173,SCHAEFFLER,Schaeffler India Limited,"4,394,243.23"
174,AWL,Adani Wilmar Limited,"4,177,167.04"
175,APLAPOLLO,APL Apollo Tubes Limited,"4,151,628.72"
176,TATATECH,Tata Technologies Limited,"4,140,253.02"
177,SONACOMS,Sona BLW Precision Forgings Limited,"4,139,985.96"
178,KPITTECH,KPIT Technologies Limited,"4,074,873.56"
179,FACT,Fertilizers and Chemicals Travancore Limited,"4,063,288.46"
180,PSB,Punjab & Sind Bank,"4,049,727.40"
181,PETRONET,Petronet LNG Limited,"3,948,000.23"
182,L&TFH,L&T Finance Holdings Limited,"3,938,748.04"
183,UNOMINDA,UNO Minda Limited,"3,931,359.59"
184,PAGEIND,Page Industries Limited,"3,842,615.55"
185,MRPL,Mangalore Refinery and Petrochemicals Limited,"3,830,304.63"
186,AUBANK,AU Small Finance Bank Limited,"3,780,652.30"
187,MAZDOCK,Mazagon Dock Shipbuilders Limited,"3,759,703.29"
188,HUDCO,Housing & Urban Development Corporation Limited,"3,748,557.75"
189,GUJGASLTD,Gujarat Gas Limited,"3,746,563.26"
190,NIACL,The New India Assurance Company Limited,"3,742,608.00"
191,CRISIL,CRISIL Limited,"3,705,605.95"
192,AIAENG,AIA Engineering Limited,"3,692,878.29"
193,FEDERALBNK,The Federal Bank  Limited,"3,658,946.70"
194,IREDA,Indian Renewable Energy Development Agency Limited,"3,652,672.24"
195,VOLTAS,Voltas Limited,"3,651,478.55"
196,DALBHARAT,Dalmia Bharat Limited,"3,642,456.28"
197,POONAWALLA,Poonawalla Fincorp Limited,"3,604,840.75"
198,MEDANTA,Global Health Limited,"3,546,856.82"
199,IRB,IRB Infrastructure Developers Limited,"3,535,834.50"
200,3MINDIA,3M India Limited,"3,513,952.71"
201,MFSL,Max Financial Services Limited,"3,458,740.23"
202,M&MFIN,Mahindra & Mahindra Financial Services Limited,"3,444,657.42"
203,UPL,UPL Limited,"3,422,770.84"
204,HONAUT,Honeywell Automation India Limited,"3,420,542.11"
205,BSE,BSE Limited,"3,405,933.82"
206,FLUOROCHEM,Gujarat Fluorochemicals Limited,"3,402,438.98"
207,COFORGE,Coforge Limited,"3,401,423.16"
208,LICHSGFIN,LIC Housing Finance Limited,"3,360,609.90"
209,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,"3,297,657.86"
210,DELHIVERY,Delhivery Limited,"3,282,746.70"
211,BDL,Bharat Dynamics Limited,"3,210,904.22"
212,STARHEALTH,Star Health and Allied Insurance Company Limited,"3,180,722.53"
213,FORTIS,Fortis Healthcare Limited,"3,172,334.14"
214,BIOCON,Biocon Limited,"3,171,384.90"
215,COROMANDEL,Coromandel International Limited,"3,165,409.14"
216,NLCINDIA,NLC India Limited,"3,162,918.11"
217,TATAINVEST,Tata Investment Corporation Limited,"3,159,144.98"
218,JKCEMENT,JK Cement Limited,"3,149,569.81"
219,IPCALAB,IPCA Laboratories Limited,"3,139,335.99"
220,METROBRAND,Metro Brands Limited,"3,137,623.56"
221,KEI,KEI Industries Limited,"3,122,173.27"
222,ESCORTS,Escorts Kubota Limited,"3,068,868.20"
223,LLOYDSME,Lloyds Metals And Energy Limited,"3,041,626.28"
224,GLAND,Gland Pharma Limited,"3,039,276.64"
225,IGL,Indraprastha Gas Limited,"3,015,603.45"
226,NAM-INDIA,Nippon Life India Asset Management Limited,"2,968,239.02"
227,APOLLOTYRE,Apollo Tyres Limited,"2,962,428.36"
228,JUBLFOOD,Jubilant Foodworks Limited,"2,961,715.18"
229,POWERINDIA,Hitachi Energy India Limited,"2,954,723.24"
230,MSUMI,Motherson Sumi Wiring India Limited,"2,922,352.34"
231,BANDHANBNK,Bandhan Bank Limited,"2,899,652.69"
232,DEEPAKNTR,Deepak Nitrite Limited,"2,899,034.09"
233,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,"2,879,459.44"
234,AJANTPHARM,Ajanta Pharma Limited,"2,858,280.02"
235,KPRMILL,K P R  Mill Limited,"2,845,430.64"
236,SYNGENE,Syngene International Limited,"2,824,356.38"
237,EIHOTEL,EIH Limited,"2,811,012.00"
238,APARINDS,Apar Industries Limited,"2,803,306.54"
239,NATIONALUM,National Aluminium Company Limited,"2,801,781.79"
240,TATACHEM,Tata Chemicals Limited,"2,753,660.61"
241,GLENMARK,Glenmark Pharmaceuticals Limited,"2,704,632.38"
242,HINDCOPPER,Hindustan Copper Limited,"2,688,810.29"
243,GODREJIND,Godrej Industries Limited,"2,634,436.70"
244,NH,Narayana Hrudayalaya Ltd ,"2,623,584.00"
